Year,ICPSR_State_Code,Alphanumeric_State_Code,State,Turnout_Rates_VEP_Total_Ballots_Counted,Turnout_Rates_VEP_Highest_Office,Turnout_Rates_VAP_Highest_Office,Numerators_Total_Ballots_Counted,Numerators_Highest_Office,Denominators_Voting_Eligible_Population_VEP,Denominators_Voting_Age_Population_VAP_,Non_citizen,Prison,Probation,Parole,Total_Ineligible_Felon,Overseas_Eligible
1988,35,28,Nebraska,60.3,58.8,57.8,678669,661465,1125252,1144305,0.9,2156,11411,447,8309,
1988,65,29,Nevada,46.1,45.6,42.5,354261,350067,768131,823940,5.5,4881,7032,2100,10497,
1988,4,30,New Hampshire,57.8,56.4,55.2,462503,451074,800468,817358,1.9,1019,0,0,1019,
1988,12,31,New Jersey,57.1,57,52.5,3102502,3099553,5435008,5904776,6.9,16936,57903,18463,64351,
1988,66,32,New Mexico,53.4,52,49.8,535694,521287,1002876,1046754,3.6,2825,5312,1230,6711,
1988,13,33,New York,54,52.7,47.5,6636310,6485683,12300666,13659215,9.4,44560,0,33962,78522,
1988,47,34,North Carolina,,44.5,43.5,,2134370,4794041,4903045,1.1,17078,67164,6191,56851,
1988,36,35,North Dakota,66.2,63.7,63.2,309100,297261,466684,470652,0.7,466,0,0,466,
1988,24,36,Ohio,57.3,55.8,55,4505284,4393585,7869099,7986220,1.1,26462,0,0,26462,
1988,53,37,Oklahoma,53.1,52.1,50.9,1192815,1171036,2245785,2300258,1.3,10448,23341,1455,23574,
1988,72,38,Oregon,62.3,60.6,58.5,1235199,1201694,1982355,2055379,3.1,5991,0,3790,9781,
1988,14,39,Pennsylvania,,51,50.2,,4536251,8892826,9037056,1.4,17900,0,0,17900,
1988,5,40,Rhode Island,57.6,56.1,52.5,415963,404620,721773,771407,5.5,1906,9824,442,7260,
1988,48,41,South Carolina,42.5,40.2,39.4,1041846,986009,2453644,2504635,0.8,13888,26260,3626,30644,
1988,37,42,South Dakota,,63.4,62.9,,312991,494034,497633,0.5,1020,0,0,1020,
1988,54,43,Tennessee,,46.1,45.3,,1636250,3551452,3609081,0.7,7732,28282,9529,31402,
1988,49,44,Texas,,50.1,45.7,,5427410,10833436,11877787,6.6,40437,288906,77827,262717,
1988,67,45,Utah,63.4,62,60.5,661546,647008,1043170,1069800,2.5,0,0,0,0,
1988,6,46,Vermont,66.7,60.1,59.2,270148,243328,404795,411136,1.5,0,0,0,0,
1988,40,47,Virginia,,49.8,47.9,,2191609,4396900,4571637,3.2,14184,17945,6576,29733,
1988,73,48,Washington,58.6,56.8,53.8,1923043,1865253,3282173,3465082,3.9,5816,64257,10745,48690,
1988,56,49,West Virginia,,48.5,48.1,,653311,1347692,1358249,0.4,1455,4811,807,4668,
1988,25,50,Wisconsin,,62.8,61.6,,2191608,3489742,3558322,1.3,6353,26305,4128,23634,
1988,68,51,Wyoming,59.2,56,55.1,186417,176551,315073,320695,1,945,2186,333,2371,
1986,0,0,United States,0,38.1,36.5,,64991128,170396029,177922330,4.7,535547,1177814,242663,1367117,2216053
1986,41,1,Alabama,,43.1,42.5,,1236230,2869652,2911819,0.6,11710,21371,3038,25434,
1986,81,2,Alaska,51.9,51.4,49.6,182526,180801,351841,364871,2.5,2460,2885,119,4022,
1986,61,3,Arizona,38.4,37.4,35.3,889668,866984,2319046,2452624,4.6,9434,20283,2034,21610,
1986,42,4,Arkansas,,41.4,40.8,,695487,1681564,1706578,0.6,4701,12700,4023,15074,
1986,71,5,California,44.4,43.4,36.8,7617142,7443551,17166275,20222886,14.7,59484,0,33172,92656,
1986,62,6,Colorado,47.5,45.9,44.7,1096867,1060765,2309652,2372880,2.4,3804,0,1827,5631,
1986,1,7,Connecticut,43.7,42.4,40.1,1025605,993692,2344327,2479722,4.3,6905,41304,603,28160,
1986,11,8,Delaware,36.3,35.3,34.1,165563,160757,455609,470828,1.6,2833,7985,978,7804,
1986,55,9,District of Columbia,28.8,28.3,25.9,134158,131802,465993,508553,6.5,6618,0,2980,9598,
1986,43,10,Florida,,40.9,37.5,,3429996,8384015,9158241,7.3,32237,139859,3478,105645,
1986,44,11,Georgia,,28.5,27.5,,1224948,4300049,4450093,1.5,16922,109485,10421,82086,
1986,82,12,Hawaii,48.1,46.7,43.1,344416,334115,715459,775534,7.5,2180,0,0,2180,
1986,63,13,Idaho,59.3,58.4,57.2,392909,387426,663126,677205,1.9,1448,0,0,1448,
1986,21,14,Illinois,42,39.7,37.7,3322657,3144185,7912733,8343755,4.9,19456,0,0,19456,
1986,22,15,Indiana,41.1,39.4,39,1619005,1555505,3943714,3990379,0.9,10175,0,0,10175,
1986,31,16,Iowa,45.6,45.1,44.4,922094,910623,2020678,2049547,0.9,2777,12584,1929,10998,
1986,32,17,Kansas,,47.8,47,,840605,1757001,1788426,1.5,5345,0,0,5345,
1986,51,18,Kentucky,,25.5,25.2,,677280,2661218,2687605,0.5,5288,6841,3370,12079,
1986,45,19,Louisiana,,45.4,44.6,,1369897,3014498,3069021,1.3,14300,0,0,14300,
1986,2,20,Maine,,49.7,49,,426861,858200,870604,1.4,0,0,0,0,
1986,52,21,Maryland,36.1,34.6,32.7,1161136,1112637,3216833,3401061,3.8,13326,69134,7494,55387,
1986,3,22,Massachusetts,41.1,38.9,36.9,1777276,1684079,4326264,4560556,5.1,0,0,0,0,
1986,23,23,Michigan,37.8,36.8,35.9,2468009,2396564,6520661,6674856,2,20742,0,0,20742,
1986,33,24,Minnesota,48.2,46.8,45.8,1456579,1415989,3024070,3089544,1.4,2462,38901,1437,23350,
1986,46,25,Mississippi,,29.4,29,,523563,1782721,1804699,0.5,6747,6458,3454,13430,
1986,34,26,Missouri,,40.4,39.7,,1477327,3655213,3717988,0.8,10309,33819,5229,32448,
1986,64,27,Montana,57.1,55.6,55,326436,317862,572113,577604,0.8,1111,0,0,1111,
1986,35,28,Nebraska,51.5,50.3,49.5,577916,564422,1123099,1141336,0.9,2044,11265,304,7981,
1986,65,29,Nevada,37.8,37.4,35.1,264365,261932,700192,747283,5.1,4551,5518,1529,8839,
1986,4,30,New Hampshire,33.8,33,32.4,257410,250966,760526,775686,1.9,782,0,0,782,
1986,12,31,New Jersey,30.4,28.8,26.7,1639330,1553544,5396487,5819614,6.4,12020,51359,14064,51764,
1986,66,32,New Mexico,41.4,40,38.5,408621,394833,987220,1026160,3.2,2416,4175,1147,5651,
1986,13,33,New York,36.5,35,31.8,4481718,4293971,12263480,13512043,8.7,38449,0,29325,67774,
1986,47,34,North Carolina,,34.2,33.5,,1591330,4653016,4749053,1,17698,58644,3322,50342,
1986,36,35,North Dakota,62.3,61,60.5,295177,289013,473962,477812,0.7,421,0,0,421,
1986,24,36,Ohio,46.6,40.1,39.6,3628870,3121189,7781083,7891503,1.1,22463,0,0,22463,
1986,53,37,Oklahoma,40.8,39.7,38.8,934447,909925,2290182,2343190,1.3,9708,22740,1670,22748,
1986,72,38,Oregon,56.4,54.9,53.2,1088140,1059630,1928782,1990233,2.8,4770,0,0,4770,
1986,14,39,Pennsylvania,,38.4,37.8,,3388275,8820459,8955720,1.3,15201,0,0,15201,
